title	description
Like Water for Chocolate	When Pedro marries her sister, Tita throws herself into her cooking – and discovers she can transfer her emotions through the food she prepares.
Listen Up! The Lives of Quincy Jones	Steering clear of convention, this affecting documentary pays tribute to the life and work of composer, musician and producer Quincy Jones, one of the best-known and most respected men in the music industry.
Logan's Run	In the 23rd century, inhabitants of a domed city exist in a world filled with life's pleasures – but no one is allowed to live past the age of 30.
Lolita	In this black comedy, an English professor marries his landlady to get closer to his forbidden obsession: her teenage daughter.
Love Jones	In this urban romantic comedy set in Chicago, the ups and downs of courtship play out between a young black poet and a pretty shutterbug.
Love, Chunibyo & Other Delusions!	High schooler Yuta wants to leave his past as a delusional weirdo behind. But his classmate Rikka has her own delusions, and she's interested in his.
Mad Money	A woman joins the janitorial staff of the Federal Reserve Bank and conspires with two co-workers to pilfer old money that's scheduled to be destroyed.
Maid-Sama!	To keep the boys in line, student council president Misaki runs the school with an iron fist – while secretly working as a waitress at a maid café.
Mars	Fact meets fiction in this docudrama chronicling the journey of a spacecraft crew as it embarks in 2033 on a mission to colonize the red planet.
Mobile Suit Gundam: Iron-Blooded Orphans	On a terraformed post-disaster Mars, a group of child security agents rebel against the adults who betrayed them and the oppressive Earth government.
Money Talks	TV news reporter James Russell helps put small-time criminal Franklin Hatchett in jail, but turns to protecting Hatchett when he escapes from prison.
Monster House	Three friends uncover the truth about a scary abandoned house in their neighborhood that has a personality of its own and seems to be eating people.
Mutiny on the Bounty	Marlon Brando gives a nuanced performance as the aristocratic Lt. Fletcher Christian, an officer aboard the HMS Bounty who leads a mutiny against the ship's tyrannical Capt. Bligh.
Nacho Libre	When Ignacio learns of an orphanage's financial woes, he pitches in to help – by disguising himself and joining the professional wrestling circuit.
National Lampoon's Loaded Weapon 1	In this parody of the Lethal Weapon franchise, criminals murder a detective and steal her prized evidence: microfilm with a recipe for cocaine cookies. Luckily, loose-cannon cop Jack Colt and his by-the-book partner, Wes Luger, are on the case.
Ocean's Eleven	Frank Sinatra leads an all-star cast as Danny Ocean, who decides to knock over a few casinos on the Las Vegas Strip with his buddies.
Paid in Full	This fictionalized account of three real-life notorious Harlem drug dealers is told in flashbacks as they plunge into the world of hustling.
Queer Eye: We're in Japan!	The Fab Five touch down in Tokyo to spread the joy, explore the culture, and help four Japanese men and women find the confidence to be themselves.
Rebel Without a Cause	When Jim Stark arrives in a new town with his troubled past firmly in tow, he quickly falls for the girl next door and befriends the vulnerable Plato.
Revolutionary Road	"April and Frank's marriage unravels when a plan to change their ""perfect"" lives becomes their last hope to escape lives engulfed in emptiness."
Rosemary's Baby	A woman is thrilled to find out she's pregnant. But as her belly grows, the more certain she becomes that her unborn child is in serious danger.
Rounders	"A law student befriends and ""befoes"" a fellow gambling addict and a club owner, and tensions run high when they must come up with $15k in just 5 days."
Rumble in the Bronx	During a visit to the Bronx to help out at his uncle's store, a cheerful martial arts expert springs into action when a gang terrorizes the shop.
Santa Girl	Fleeing the family business and an arranged marriage, Santa’s daughter chooses a magical adventure of her own: College.
Sling Blade	A man returns home after being released from a psychiatric hospital, where he'd been confined since age 12 for murdering his mother and her lover.
Sparkle	In 1950s Harlem, three singing sisters hit the big time and end up losing one another in this musical melodrama inspired by the Supremes.
Spider-Man 3	The seemingly invincible Spider-Man goes up against an all-new crop of villains in the third installment of the blockbuster adventure series.
Spitfire: The Plane that Saved the World	In this epic documentary, last-surviving veterans trace the history of a legendary fighter aircraft that dominated the air during the Battle of Britain.
Step Brothers	Brennan and Dale might be grown men, but that doesn't stop a childish sibling rivalry from erupting after Brennan's mom marries Dale's dad.
Superfly	To get away from the thug life, cocaine dealer Youngblood Priest puts together one last deal that will net him enough money to start over.
The Boulet Brothers Dragula	Ten queens must slay the competition and put their fiercest, filthiest faces forward for the chance to be crowned the world's next drag supermonster.
The Brave One	New York City radio host Erica Bain decides to take the law into her own hands after losing her fiancé in a brutal Central Park attack.
The Christmas Candle	A progressive new minister's arrival in a small village threatens to end an age-old tradition that brings a yuletide miracle to one of the residents.
The Cincinnati Kid	"In Depression-era New Orleans, cocksure stud poker player Eric Stoner – the titular Cincinnati Kid – challenges longtime champ Lancey ""The Man"" Howard to a showdown at the table, where a war of wills – and nerve – ensues."
